         ps    a    b    sum_out    c_out      
       9000   50   50         a0        0 
      19000   1f   1f         3e        0 
      29000   25   3f         64        0 
      39000   3f   25         64        0 
      49000   ff   ff         fe        1 
      59000   00   ff         ff        0 
      69000   ff   00         ff        0 
      79000   ba   5e         18        1 
      89000   f1   1f         10        1 
      99000   ff   33         32        1 
     109000   33   ff         32        1 
     119000   33   cc         ff        0 
     129000   cc   33         ff        0 
     139000   4e   6e         bc        0 
     149000   6e   4e         bc        0 
     159000   12   ef         01        1 
     169000   ef   12         01        1 
     179000   27   72         99        0 
     189000   72   27         99        0 
     199000   22   33         55        0 
     209000   33   22         55        0 
     219000   aa   bb         65        1 
